epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,56.38,49.84,56.57,19.46,-13.299
5,62.11,55.48,59.46,17.72,-5.312
10,64.59,56.94,60.62,17.36,-2.834
15,66.09,57.88,61.44,17.12,-1.234
20,67.23,58.39,62.07,17.01,-0.198
25,67.62,58.75,62.54,16.95,0.364
30,68.11,58.90,62.64,16.80,0.856
35,68.23,59.00,62.95,16.87,0.968
40,68.32,59.04,62.90,16.83,1.053
45,68.34,59.02,62.97,16.82,1.094
49,68.41,59.13,62.95,16.80,1.184

BEST(epoch 49),68.41,59.13,62.95,16.80,1.184
