epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.40,46.36,57.09,20.57,-16.033
0,57.54,48.34,57.57,19.56,-13.212
5,63.17,53.81,60.34,17.76,-5.294
10,65.41,55.69,61.41,17.32,-2.661
15,66.60,56.68,62.07,17.19,-1.373
20,67.46,57.38,62.47,16.97,-0.304
25,68.01,57.86,63.07,16.90,0.432
30,68.14,58.20,63.07,16.83,0.715
35,68.43,58.51,63.28,16.79,1.088
40,68.43,58.67,63.28,16.68,1.305
45,68.73,58.76,63.51,16.66,1.573
50,68.70,58.82,63.54,16.60,1.682
55,68.78,58.96,63.50,16.62,1.724
60,68.82,59.05,63.52,16.60,1.811
65,68.86,59.15,63.52,16.61,1.853
70,68.93,59.18,63.57,16.56,1.980
75,68.89,59.21,63.51,16.69,1.773
80,68.97,59.30,63.68,16.55,2.102
85,68.98,59.45,63.84,16.48,2.328
90,68.89,59.36,63.93,16.48,2.294
95,68.94,59.54,63.80,16.40,2.444
100,68.91,59.46,63.79,16.47,2.299
105,69.00,59.54,63.85,16.48,2.375
110,68.91,59.65,63.83,16.48,2.378
115,68.98,59.56,63.78,16.47,2.362
120,68.99,59.64,63.75,16.41,2.469
125,68.95,59.72,63.94,16.47,2.479
130,68.93,59.79,64.04,16.38,2.666
135,68.95,59.81,63.91,16.43,2.559
140,68.90,59.80,63.94,16.37,2.632
145,68.93,59.87,63.94,16.38,2.658
150,68.90,59.84,63.91,16.44,2.539
155,68.95,59.85,63.94,16.37,2.671
160,68.90,59.87,63.92,16.37,2.652
165,68.91,59.86,63.88,16.33,2.692
170,69.01,59.82,63.91,16.38,2.655
175,68.93,59.86,63.87,16.31,2.723
180,68.90,59.91,63.91,16.35,2.692
185,68.85,59.95,63.85,16.31,2.722
190,68.88,59.90,63.98,16.37,2.681
195,68.91,59.92,63.95,16.30,2.786
200,68.90,59.94,63.81,16.35,2.664
205,68.91,59.95,63.90,16.34,2.722
210,68.89,59.93,63.90,16.36,2.679
215,68.98,59.94,63.91,16.32,2.776
220,68.94,59.94,63.92,16.35,2.723
225,68.94,59.96,63.95,16.31,2.799
230,68.95,59.95,64.03,16.33,2.803
235,68.97,59.91,63.83,16.34,2.700
240,68.93,59.95,64.01,16.30,2.829
245,68.96,59.98,64.03,16.31,2.847
250,68.94,60.07,63.85,16.30,2.817
255,68.91,59.94,63.98,16.29,2.820
260,68.95,60.03,63.91,16.31,2.815
265,68.87,59.95,63.96,16.30,2.787
270,68.94,60.04,63.94,16.31,2.827
275,68.90,59.99,63.95,16.31,2.796
280,68.87,59.96,64.01,16.31,2.797
285,68.92,59.98,64.03,16.30,2.846
290,68.94,60.02,63.95,16.31,2.823
295,68.93,60.00,63.96,16.31,2.816
299,68.91,60.04,64.04,16.30,2.870

BEST(epoch 299),68.91,60.04,64.04,16.30,2.870
