epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,57.98,48.38,57.53,19.50,-12.964
5,63.78,53.77,60.26,17.77,-5.130
10,65.24,55.58,61.40,17.41,-2.898
15,66.09,56.61,62.14,17.17,-1.535
20,66.77,57.47,62.64,17.05,-0.568
25,66.97,57.84,63.07,16.99,-0.088
30,67.25,58.15,63.05,16.83,0.356
35,67.38,58.36,63.32,16.91,0.486
40,67.44,58.37,63.26,16.87,0.544
45,67.46,58.36,63.34,16.85,0.607
49,67.49,58.43,63.32,16.84,0.652

BEST(epoch 49),67.49,58.43,63.32,16.84,0.652
