epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.30,49.65,58.82,19.94,-12.428
5,63.86,55.35,61.66,18.30,-4.638
10,65.53,56.88,62.63,17.82,-2.343
15,66.49,57.89,63.02,17.51,-0.990
20,67.33,58.50,63.40,17.38,-0.098
25,67.51,58.86,63.80,17.27,0.428
30,67.78,59.04,63.62,17.10,0.765
35,67.88,59.20,63.90,17.20,0.840
40,67.96,59.18,63.77,17.15,0.879
45,67.96,59.17,63.81,17.11,0.947
49,68.00,59.25,63.78,17.09,1.010

BEST(epoch 49),68.00,59.25,63.78,17.09,1.010
