epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.72,46.98,58.43,20.71,-15.321
0,58.07,48.95,58.86,19.68,-12.418
5,63.79,54.45,61.87,17.93,-4.428
10,65.78,56.22,62.72,17.46,-1.979
15,66.84,57.19,62.98,17.30,-0.866
20,67.58,57.93,62.90,17.11,-0.060
25,68.11,58.34,63.61,17.03,0.699
30,68.27,58.69,63.49,16.96,0.949
35,68.58,59.08,63.58,16.89,1.355
40,68.58,59.23,63.53,16.81,1.507
45,68.82,59.29,63.96,16.78,1.834
50,68.70,59.44,63.90,16.74,1.882
55,68.87,59.56,64.01,16.74,2.038
60,68.88,59.64,63.78,16.72,2.009
65,68.95,59.74,63.71,16.72,2.047
70,69.07,59.82,63.72,16.69,2.170
75,69.07,59.83,63.63,16.79,1.999
80,69.11,59.84,63.78,16.66,2.259
85,69.14,59.98,63.96,16.61,2.468
90,69.12,59.91,64.13,16.60,2.515
95,69.23,60.10,63.95,16.51,2.685
100,69.09,60.03,64.06,16.56,2.580
105,69.20,60.06,63.84,16.60,2.489
110,69.14,60.27,63.67,16.59,2.497
115,69.30,60.17,63.83,16.57,2.608
120,69.19,60.20,63.73,16.53,2.595
125,69.23,60.32,64.00,16.58,2.697
130,69.21,60.39,64.04,16.51,2.831
135,69.18,60.36,64.02,16.52,2.786
140,69.17,60.36,63.95,16.50,2.782
145,69.17,60.44,64.02,16.50,2.842
150,69.17,60.35,63.91,16.56,2.678
155,69.13,60.40,63.96,16.50,2.787
160,69.16,60.41,64.05,16.49,2.852
165,69.21,60.41,64.03,16.45,2.919
170,69.30,60.43,64.04,16.49,2.909
175,69.21,60.47,64.10,16.41,3.027
180,69.17,60.54,64.03,16.45,2.956
185,69.12,60.56,63.98,16.42,2.967
190,69.12,60.53,64.08,16.47,2.926
195,69.16,60.58,64.14,16.41,3.068
200,69.15,60.62,64.02,16.47,2.949
205,69.15,60.60,64.13,16.45,3.013
210,69.14,60.53,64.13,16.49,2.925
215,69.23,60.59,64.05,16.42,3.048
220,69.22,60.59,64.10,16.47,2.995
225,69.19,60.58,64.04,16.43,3.012
230,69.22,60.58,64.21,16.44,3.077
235,69.20,60.53,64.02,16.46,2.945
240,69.20,60.60,64.15,16.41,3.095
245,69.20,60.60,64.18,16.40,3.121
250,69.20,60.70,64.06,16.41,3.100
255,69.18,60.58,64.15,16.40,3.094
260,69.20,60.66,64.09,16.42,3.082
265,69.16,60.60,64.08,16.41,3.052
270,69.22,60.68,64.14,16.43,3.103
275,69.17,60.63,64.07,16.42,3.050
280,69.14,60.60,64.15,16.42,3.059
285,69.18,60.62,64.17,16.42,3.090
290,69.20,60.65,64.13,16.42,3.094
295,69.18,60.63,64.14,16.43,3.068
299,69.15,60.66,64.16,16.41,3.105

BEST(epoch 245),69.20,60.60,64.18,16.40,3.121
