epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.63,49.66,58.83,19.92,-12.269
5,64.29,55.37,61.65,18.25,-4.405
10,65.84,56.90,62.55,17.75,-2.154
15,66.71,57.89,62.93,17.43,-0.833
20,67.34,58.51,63.27,17.29,-0.017
25,67.54,58.90,63.71,17.18,0.544
30,67.84,59.12,63.55,16.98,0.958
35,67.96,59.33,63.82,17.08,1.057
40,68.01,59.36,63.79,16.93,1.284
45,68.09,59.25,63.85,16.90,1.336
50,68.20,59.47,63.82,16.83,1.551
55,68.05,59.52,63.87,16.82,1.549
60,68.20,59.64,63.98,16.76,1.781
65,68.27,59.81,64.00,16.81,1.814
70,68.07,59.79,63.97,16.84,1.678
75,68.29,59.95,63.94,16.73,1.965
80,68.35,59.94,64.08,16.68,2.109
85,68.31,60.04,64.02,16.69,2.097
90,68.28,60.16,64.13,16.68,2.192
95,68.14,60.16,64.11,16.68,2.132
100,68.11,60.10,63.97,16.60,2.152
105,68.18,60.21,64.24,16.56,2.386
110,68.29,60.04,64.05,16.60,2.226
115,68.14,60.16,64.19,16.55,2.345
120,68.19,60.29,64.03,16.60,2.282
125,68.24,60.24,64.17,16.55,2.406
130,68.25,60.27,64.22,16.57,2.414
135,68.15,60.27,64.12,16.57,2.337
140,68.10,60.37,64.02,16.51,2.402
145,68.19,60.22,64.15,16.45,2.511
150,68.18,60.31,64.12,16.52,2.434
155,68.26,60.38,64.05,16.47,2.533
160,68.17,60.38,64.22,16.47,2.568
165,68.20,60.42,63.89,16.49,2.435
170,68.21,60.41,64.02,16.47,2.515
175,68.12,60.42,64.02,16.47,2.485
180,68.18,60.38,64.12,16.48,2.518
185,68.10,60.42,64.10,16.48,2.496
190,68.19,60.50,63.98,16.49,2.500
195,68.07,60.46,64.15,16.47,2.535
200,68.14,60.50,64.00,16.50,2.475
205,68.17,60.47,64.03,16.43,2.584
210,68.09,60.46,63.99,16.44,2.520
215,68.12,60.50,64.03,16.43,2.577
220,68.13,60.52,63.99,16.46,2.531
225,68.21,60.41,64.01,16.44,2.553
230,68.10,60.49,63.99,16.45,2.522
235,68.15,60.44,64.01,16.41,2.584
240,68.13,60.52,63.99,16.43,2.573
245,68.12,60.55,64.07,16.43,2.614
250,68.11,60.54,64.09,16.43,2.614
255,68.12,60.56,64.02,16.44,2.584
260,68.15,60.55,64.09,16.41,2.661
265,68.12,60.53,64.07,16.45,2.578
270,68.10,60.50,64.01,16.42,2.576
275,68.17,60.52,64.07,16.42,2.634
280,68.12,60.62,64.07,16.44,2.628
285,68.15,60.51,63.99,16.45,2.549
290,68.14,60.53,64.01,16.41,2.617
295,68.15,60.53,64.00,16.41,2.616
299,68.08,60.54,64.04,16.44,2.569

BEST(epoch 260),68.15,60.55,64.09,16.41,2.661
