epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,56.89,49.88,56.56,20.65,-14.753
5,63.13,55.54,59.45,19.15,-6.902
10,64.64,57.04,60.76,18.52,-4.333
15,65.62,57.96,61.44,18.11,-2.754
20,66.31,58.59,62.08,17.85,-1.624
25,66.68,59.03,62.47,17.67,-0.902
30,67.35,59.38,62.78,17.47,-0.109
35,67.31,59.55,62.95,17.50,-0.029
40,67.32,59.67,62.94,17.42,0.130
45,67.69,59.79,63.06,17.31,0.518
50,67.63,59.90,62.83,17.26,0.517
55,67.58,59.94,63.05,17.21,0.672
60,67.81,60.21,63.22,17.19,0.963
65,68.05,60.17,63.16,17.14,1.081
70,67.96,60.29,63.28,17.19,1.075
75,68.19,60.45,63.18,17.12,1.282
80,68.08,60.41,63.35,17.11,1.307
85,68.06,60.41,63.34,17.05,1.379
90,68.15,60.62,63.35,17.05,1.502
95,68.02,60.50,63.29,17.05,1.381
100,67.98,60.59,63.30,16.97,1.518
105,68.18,60.65,63.46,16.93,1.736
110,68.34,60.77,63.30,16.99,1.696
115,68.14,60.64,63.44,16.88,1.779
120,68.09,60.72,63.29,16.95,1.635
125,68.26,60.56,63.39,16.90,1.743
130,68.17,60.67,63.45,16.91,1.764
135,68.06,60.67,63.28,16.88,1.697
140,68.09,60.83,63.40,16.86,1.849
145,68.14,60.84,63.41,16.77,2.000
150,68.12,60.76,63.45,16.84,1.879
155,68.20,60.83,63.41,16.81,1.963
160,68.21,60.91,63.39,16.77,2.047
165,68.23,60.99,63.30,16.79,2.022
170,68.17,60.88,63.39,16.82,1.950
175,68.05,60.87,63.38,16.81,1.911
180,68.10,60.87,63.42,16.83,1.918
185,68.23,60.99,63.41,16.79,2.067
190,68.23,60.86,63.30,16.81,1.942
195,68.22,60.98,63.44,16.80,2.057
200,68.23,60.98,63.33,16.81,2.003
205,68.20,60.96,63.35,16.77,2.047
210,68.13,60.86,63.47,16.75,2.057
215,68.12,60.97,63.56,16.76,2.119
220,68.17,60.99,63.40,16.77,2.068
225,68.19,60.96,63.35,16.75,2.071
230,68.17,60.96,63.40,16.75,2.084
235,68.16,60.98,63.49,16.72,2.166
240,68.13,61.00,63.39,16.76,2.067
245,68.19,61.03,63.34,16.75,2.095
250,68.21,61.04,63.45,16.75,2.151
255,68.21,61.05,63.40,16.77,2.107
260,68.21,61.06,63.44,16.75,2.155
265,68.22,61.05,63.40,16.76,2.125
270,68.16,60.99,63.37,16.75,2.080
275,68.23,61.00,63.43,16.74,2.148
280,68.19,61.09,63.47,16.78,2.130
285,68.15,61.00,63.38,16.78,2.043
290,68.15,61.03,63.42,16.74,2.127
295,68.17,61.03,63.39,16.72,2.150
299,68.12,61.03,63.45,16.75,2.114

BEST(epoch 235),68.16,60.98,63.49,16.72,2.166
