epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,55.07,45.35,58.20,20.52,-16.420
0,56.09,47.28,58.92,19.56,-13.638
5,62.09,52.82,62.27,17.77,-5.336
10,64.59,54.84,62.95,17.33,-2.706
15,66.01,55.86,63.18,17.18,-1.465
20,66.95,56.61,63.02,16.99,-0.612
25,67.73,57.22,63.62,16.93,0.248
30,67.99,57.68,63.57,16.83,0.650
35,68.48,58.05,63.91,16.80,1.159
40,68.59,58.23,63.59,16.68,1.312
45,68.89,58.37,64.16,16.70,1.680
50,68.88,58.49,64.00,16.64,1.744
55,69.04,58.71,64.12,16.66,1.913
60,69.20,58.79,63.85,16.65,1.910
65,69.18,58.90,63.78,16.65,1.919
70,69.36,58.91,63.97,16.60,2.136
75,69.35,59.01,63.80,16.72,1.938
80,69.32,59.16,63.90,16.57,2.236
85,69.39,59.14,64.00,16.54,2.336
90,69.35,59.16,64.00,16.53,2.343
95,69.40,59.27,63.99,16.46,2.499
100,69.45,59.30,64.08,16.50,2.510
105,69.48,59.34,63.94,16.53,2.440
110,69.44,59.48,63.78,16.53,2.417
115,69.56,59.43,63.81,16.52,2.468
120,69.54,59.47,63.89,16.47,2.578
125,69.51,59.52,64.03,16.53,2.560
130,69.53,59.63,63.94,16.45,2.687
135,69.54,59.68,63.93,16.49,2.651
140,69.50,59.61,63.94,16.42,2.709
145,69.55,59.71,63.90,16.42,2.752
150,69.54,59.74,63.91,16.49,2.667
155,69.58,59.80,63.93,16.43,2.798
160,69.51,59.76,64.06,16.42,2.822
165,69.57,59.72,64.08,16.39,2.877
170,69.67,59.75,64.14,16.44,2.881
175,69.56,59.74,64.10,16.38,2.904
180,69.60,59.82,64.09,16.41,2.905
185,69.54,59.84,64.08,16.37,2.943
190,69.52,59.74,64.10,16.43,2.819
195,69.56,59.86,64.18,16.37,2.998
200,69.56,59.87,64.07,16.41,2.902
205,69.57,59.84,64.09,16.39,2.930
210,69.58,59.88,64.11,16.42,2.916
215,69.67,59.85,64.08,16.37,2.995
220,69.61,59.85,64.08,16.41,2.917
225,69.60,59.89,64.06,16.36,2.991
230,69.60,59.85,64.18,16.39,2.981
235,69.63,59.84,64.03,16.40,2.914
240,69.60,59.88,64.19,16.35,3.053
245,69.63,59.89,64.19,16.36,3.054
250,69.61,60.00,64.04,16.36,3.031
255,69.58,59.86,64.15,16.34,3.035
260,69.63,59.95,64.06,16.37,3.012
265,69.53,59.88,64.05,16.36,2.957
270,69.62,59.94,64.11,16.38,3.011
275,69.58,59.92,64.06,16.36,2.996
280,69.54,59.89,64.13,16.37,2.983
285,69.59,59.89,64.17,16.36,3.031
290,69.63,59.94,64.11,16.37,3.028
295,69.60,59.91,64.14,16.38,3.003
299,69.58,59.95,64.16,16.36,3.048

BEST(epoch 245),69.63,59.89,64.19,16.36,3.054
