epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,56.39,47.32,56.56,19.41,-14.247
5,62.14,52.77,59.46,17.64,-6.283
10,64.58,54.75,60.55,17.27,-3.625
15,66.06,55.90,61.35,17.03,-1.955
20,67.17,56.79,61.98,16.94,-0.805
25,67.56,57.29,62.42,16.86,-0.171
30,68.14,57.71,62.56,16.68,0.521
35,68.34,57.95,62.93,16.75,0.744
40,68.43,58.05,62.89,16.66,0.927
45,68.70,58.12,63.12,16.62,1.203
50,68.83,58.32,63.00,16.58,1.340
55,68.81,58.42,63.15,16.60,1.405
60,68.89,58.57,63.24,16.51,1.657
65,69.04,58.63,63.29,16.62,1.604
70,68.88,58.63,63.38,16.61,1.594
75,69.08,58.83,63.45,16.54,1.875
80,69.19,58.90,63.54,16.44,2.119
85,69.08,58.98,63.49,16.47,2.049
90,69.19,59.02,63.56,16.46,2.148
95,69.18,59.04,63.55,16.54,2.037
100,69.16,59.01,63.55,16.35,2.281
105,69.17,59.16,63.67,16.37,2.366
110,69.20,59.14,63.60,16.38,2.327
115,69.19,59.14,63.68,16.38,2.356
120,69.22,59.28,63.67,16.40,2.391
125,69.20,59.18,63.64,16.39,2.345
130,69.27,59.25,63.66,16.39,2.408
135,69.23,59.30,63.67,16.42,2.375
140,69.20,59.32,63.61,16.33,2.473
145,69.26,59.25,63.61,16.32,2.481
150,69.14,59.26,63.79,16.40,2.402
155,69.20,59.38,63.69,16.33,2.530
160,69.27,59.33,63.71,16.31,2.571
165,69.25,59.42,63.55,16.34,2.494
170,69.29,59.41,63.71,16.35,2.555
175,69.30,59.41,63.70,16.30,2.625
180,69.35,59.39,63.75,16.33,2.614
185,69.29,59.46,63.76,16.36,2.582
190,69.32,59.41,63.58,16.34,2.528
195,69.24,59.41,63.80,16.30,2.643
200,69.31,59.52,63.71,16.37,2.580
205,69.30,59.44,63.76,16.30,2.661
210,69.24,59.34,63.71,16.33,2.536
215,69.20,59.45,63.79,16.28,2.668
220,69.28,59.48,63.71,16.32,2.622
225,69.30,59.47,63.69,16.30,2.645
230,69.28,59.47,63.68,16.29,2.647
235,69.29,59.42,63.82,16.27,2.715
240,69.27,59.53,63.72,16.27,2.712
245,69.31,59.54,63.74,16.30,2.697
250,69.30,59.52,63.73,16.28,2.709
255,69.26,59.57,63.73,16.30,2.686
260,69.28,59.55,63.76,16.27,2.740
265,69.26,59.54,63.70,16.30,2.662
270,69.25,59.49,63.67,16.28,2.654
275,69.31,59.55,63.70,16.27,2.727
280,69.25,59.64,63.76,16.28,2.751
285,69.30,59.53,63.64,16.30,2.649
290,69.27,59.55,63.72,16.26,2.734
295,69.29,59.54,63.69,16.27,2.711
299,69.22,59.56,63.77,16.30,2.684

BEST(epoch 280),69.25,59.64,63.76,16.28,2.751
