epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,57.77,49.93,58.97,20.25,-12.883
5,63.18,55.59,61.86,18.62,-5.159
10,65.16,57.04,62.84,18.08,-2.693
15,66.25,58.03,63.04,17.73,-1.321
20,67.15,58.60,63.43,17.53,-0.321
25,67.37,58.97,63.84,17.42,0.227
30,67.74,59.15,63.62,17.25,0.586
35,67.82,59.29,63.93,17.34,0.671
40,67.90,59.30,63.79,17.29,0.718
45,67.90,59.28,63.85,17.26,0.776
49,67.95,59.37,63.81,17.24,0.843

BEST(epoch 49),67.95,59.37,63.81,17.24,0.843
