epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.64,48.95,58.00,19.58,-12.412
5,64.23,54.40,60.97,17.87,-4.562
10,65.72,56.12,62.09,17.49,-2.336
15,66.56,57.18,62.66,17.25,-1.033
20,67.28,57.92,63.06,17.12,-0.126
25,67.38,58.28,63.34,17.05,0.267
30,67.64,58.55,63.26,16.89,0.663
35,67.75,58.75,63.55,16.97,0.790
40,67.80,58.74,63.41,16.92,0.818
45,67.80,58.74,63.48,16.91,0.859
49,67.83,58.82,63.48,16.89,0.931

BEST(epoch 49),67.83,58.82,63.48,16.89,0.931
