epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,57.76,49.99,57.55,19.52,-12.416
5,63.22,55.57,60.33,17.79,-4.611
10,65.43,56.97,61.54,17.42,-2.224
15,66.61,57.88,62.25,17.18,-0.799
20,67.62,58.41,62.71,17.06,0.142
25,67.91,58.75,63.09,17.00,0.623
30,68.25,58.90,63.11,16.85,1.027
35,68.31,58.98,63.43,16.92,1.112
40,68.42,58.99,63.31,16.89,1.151
45,68.41,58.97,63.43,16.87,1.215
49,68.47,59.07,63.40,16.86,1.279

BEST(epoch 49),68.47,59.07,63.40,16.86,1.279
