epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.04,48.48,58.49,21.29,-15.751
0,57.75,50.01,59.04,20.30,-12.899
5,63.62,55.61,61.87,18.60,-4.956
10,65.31,57.16,62.63,18.01,-2.576
15,66.21,58.05,62.92,17.70,-1.334
20,66.72,58.45,63.06,17.46,-0.593
25,67.17,58.90,63.56,17.34,0.124
30,67.18,59.04,63.75,17.28,0.343
35,67.51,59.33,63.55,17.17,0.656
40,67.66,59.49,63.77,17.04,1.046
45,67.69,59.55,63.92,17.04,1.141
50,67.66,59.64,64.06,16.96,1.334
55,67.78,59.77,64.04,16.96,1.423
60,67.82,59.76,63.97,16.89,1.503
65,67.81,59.93,63.88,16.88,1.546
70,67.90,59.92,64.09,16.86,1.687
75,67.90,59.97,64.12,16.95,1.594
80,67.82,60.00,63.88,16.89,1.564
85,67.86,60.06,64.23,16.77,1.910
90,67.77,60.23,64.19,16.72,1.999
95,67.96,60.18,64.05,16.64,2.104
100,67.94,60.16,64.17,16.72,2.026
105,67.95,60.04,64.06,16.69,1.979
110,67.74,60.27,63.96,16.72,1.912
115,67.93,60.18,64.01,16.69,2.008
120,67.89,60.30,64.07,16.65,2.121
125,67.99,60.31,64.10,16.68,2.133
130,67.75,60.34,64.25,16.63,2.185
135,67.82,60.37,64.11,16.60,2.209
140,67.81,60.39,63.98,16.62,2.133
145,67.88,60.51,64.14,16.64,2.244
150,67.85,60.42,64.09,16.66,2.149
155,67.86,60.41,64.22,16.59,2.298
160,67.80,60.38,64.17,16.60,2.229
165,67.81,60.44,64.09,16.56,2.281
170,67.81,60.39,64.19,16.62,2.217
175,67.81,60.54,64.16,16.53,2.391
180,67.80,60.47,64.31,16.59,2.336
185,67.85,60.49,64.14,16.57,2.322
190,67.76,60.45,64.27,16.50,2.422
195,67.86,60.50,64.26,16.51,2.462
200,67.87,60.56,64.20,16.56,2.396
205,67.82,60.52,64.21,16.54,2.393
210,67.81,60.55,64.21,16.58,2.346
215,67.92,60.59,64.13,16.51,2.468
220,67.89,60.57,64.22,16.59,2.374
225,67.84,60.59,64.15,16.53,2.418
230,67.82,60.53,64.25,16.53,2.427
235,67.87,60.52,64.14,16.54,2.383
240,67.80,60.56,64.22,16.49,2.475
245,67.86,60.55,64.21,16.49,2.489
250,67.88,60.62,64.16,16.51,2.477
255,67.84,60.56,64.24,16.50,2.484
260,67.89,60.61,64.11,16.51,2.457
265,67.86,60.58,64.14,16.51,2.446
270,67.88,60.64,64.19,16.52,2.483
275,67.83,60.58,64.21,16.50,2.477
280,67.79,60.58,64.21,16.51,2.448
285,67.83,60.57,64.20,16.51,2.455
290,67.86,60.60,64.17,16.51,2.466
295,67.85,60.61,64.20,16.52,2.464
299,67.83,60.62,64.23,16.50,2.501

BEST(epoch 299),67.83,60.62,64.23,16.50,2.501
