epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.04,48.48,57.09,21.29,-16.312
0,57.72,50.02,57.57,20.33,-13.538
5,63.61,55.65,60.42,18.66,-5.608
10,65.36,57.20,61.59,18.07,-3.041
15,66.29,58.07,62.16,17.76,-1.684
20,66.86,58.52,62.44,17.53,-0.859
25,67.36,58.99,62.87,17.41,-0.143
30,67.38,59.14,63.13,17.36,0.098
35,67.65,59.45,63.04,17.24,0.455
40,67.82,59.62,63.28,17.13,0.836
45,67.88,59.67,63.41,17.11,0.958
50,67.86,59.79,63.48,17.04,1.125
55,68.03,59.93,63.45,17.04,1.233
60,68.02,59.97,63.51,16.99,1.339
65,68.08,60.16,63.40,16.97,1.421
70,68.15,60.13,63.57,16.95,1.531
75,68.15,60.26,63.37,17.04,1.378
80,68.14,60.29,63.48,16.98,1.514
85,68.09,60.37,63.70,16.86,1.783
90,68.05,60.48,63.66,16.81,1.866
95,68.23,60.49,63.59,16.74,2.006
100,68.23,60.46,63.57,16.81,1.889
105,68.19,60.35,63.51,16.79,1.833
110,68.03,60.55,63.44,16.82,1.785
115,68.21,60.50,63.40,16.79,1.857
120,68.18,60.65,63.60,16.75,2.043
125,68.30,60.67,63.58,16.76,2.073
130,68.09,60.71,63.77,16.71,2.157
135,68.18,60.66,63.60,16.70,2.116
140,68.21,60.79,63.42,16.71,2.094
145,68.21,60.85,63.60,16.72,2.176
150,68.23,60.74,63.42,16.75,2.025
155,68.23,60.74,63.71,16.70,2.211
160,68.15,60.70,63.71,16.70,2.165
165,68.16,60.78,63.56,16.66,2.197
170,68.18,60.71,63.60,16.71,2.122
175,68.13,60.90,63.65,16.64,2.298
180,68.14,60.87,63.78,16.69,2.272
185,68.18,60.86,63.64,16.67,2.255
190,68.13,60.81,63.75,16.59,2.371
195,68.20,60.88,63.70,16.61,2.378
200,68.22,60.99,63.57,16.65,2.322
205,68.17,60.94,63.65,16.64,2.329
210,68.13,60.93,63.62,16.67,2.256
215,68.29,60.99,63.58,16.61,2.407
220,68.25,60.96,63.72,16.68,2.339
225,68.21,60.99,63.70,16.63,2.398
230,68.19,60.93,63.79,16.63,2.402
235,68.21,60.93,63.65,16.64,2.340
240,68.14,60.97,63.67,16.59,2.408
245,68.23,60.95,63.71,16.59,2.449
250,68.23,61.01,63.62,16.60,2.423
255,68.18,60.99,63.76,16.59,2.467
260,68.24,61.02,63.63,16.61,2.421
265,68.22,60.99,63.66,16.61,2.414
270,68.23,61.04,63.70,16.62,2.440
275,68.18,60.99,63.70,16.60,2.429
280,68.14,60.97,63.71,16.61,2.396
285,68.20,60.98,63.72,16.61,2.426
290,68.21,61.01,63.66,16.61,2.418
295,68.21,61.02,63.69,16.62,2.420
299,68.19,61.01,63.72,16.59,2.462

BEST(epoch 255),68.18,60.99,63.76,16.59,2.467
