epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.38,49.69,58.52,19.79,-12.293
5,64.08,55.11,61.60,18.07,-4.357
10,65.72,56.67,62.52,17.64,-2.150
15,66.61,57.67,62.86,17.38,-0.918
20,67.41,58.33,63.20,17.25,-0.036
25,67.50,58.64,63.57,17.15,0.410
30,67.74,58.83,63.42,16.99,0.738
35,67.80,59.02,63.76,17.08,0.848
40,67.89,59.02,63.62,17.03,0.895
45,67.86,59.00,63.67,17.00,0.938
49,67.91,59.09,63.65,16.98,1.012

BEST(epoch 49),67.91,59.09,63.65,16.98,1.012
