epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.40,46.36,58.49,20.57,-15.471
0,57.54,48.35,59.03,19.61,-12.692
5,63.12,53.83,62.03,17.82,-4.711
10,65.32,55.69,62.91,17.38,-2.177
15,66.54,56.69,63.02,17.23,-1.066
20,67.46,57.41,62.97,17.04,-0.189
25,68.04,57.94,63.60,16.97,0.590
30,68.27,58.29,63.50,16.89,0.888
35,68.61,58.65,63.79,16.85,1.332
40,68.64,58.85,63.61,16.74,1.505
45,68.95,58.96,64.08,16.74,1.853
50,68.91,59.04,63.98,16.68,1.914
55,69.07,59.20,64.12,16.70,2.066
60,69.11,59.33,63.86,16.69,2.043
65,69.13,59.42,63.81,16.68,2.081
70,69.24,59.45,63.90,16.65,2.212
75,69.26,59.51,63.85,16.76,2.070
80,69.28,59.60,63.95,16.61,2.363
85,69.29,59.74,64.06,16.56,2.537
90,69.24,59.70,64.13,16.56,2.530
95,69.28,59.87,64.08,16.47,2.719
100,69.25,59.80,64.17,16.54,2.618
105,69.35,59.86,64.03,16.56,2.596
110,69.27,60.01,63.89,16.55,2.584
115,69.41,59.90,63.95,16.54,2.630
120,69.38,60.01,64.01,16.49,2.757
125,69.32,60.09,64.17,16.56,2.733
130,69.32,60.15,64.06,16.47,2.839
135,69.33,60.15,64.10,16.49,2.831
140,69.28,60.17,64.01,16.45,2.840
145,69.33,60.23,64.05,16.45,2.899
150,69.36,60.20,63.99,16.52,2.776
155,69.34,60.20,64.02,16.46,2.864
160,69.31,60.22,64.11,16.46,2.897
165,69.33,60.18,64.13,16.41,2.966
170,69.45,60.19,64.18,16.45,2.979
175,69.37,60.23,64.16,16.39,3.041
180,69.33,60.30,64.12,16.43,2.983
185,69.29,60.33,64.14,16.38,3.058
190,69.26,60.27,64.18,16.44,2.955
195,69.34,60.31,64.25,16.38,3.112
200,69.31,60.33,64.17,16.42,3.021
205,69.32,60.34,64.20,16.41,3.055
210,69.31,60.29,64.21,16.45,2.980
215,69.43,60.29,64.16,16.39,3.088
220,69.37,60.30,64.18,16.43,3.022
225,69.37,60.33,64.13,16.39,3.069
230,69.37,60.30,64.29,16.40,3.108
235,69.41,60.28,64.12,16.42,3.018
240,69.38,60.34,64.25,16.37,3.153
245,69.39,60.36,64.27,16.37,3.173
250,69.38,60.45,64.14,16.37,3.153
255,69.34,60.32,64.22,16.36,3.132
260,69.38,60.40,64.17,16.39,3.117
265,69.31,60.35,64.15,16.38,3.077
270,69.37,60.42,64.19,16.39,3.130
275,69.33,60.37,64.15,16.39,3.079
280,69.32,60.34,64.22,16.39,3.091
285,69.36,60.37,64.25,16.38,3.144
290,69.38,60.40,64.20,16.39,3.129
295,69.37,60.38,64.21,16.40,3.108
299,69.33,60.41,64.24,16.38,3.145

BEST(epoch 245),69.39,60.36,64.27,16.37,3.173
